Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'R&B',3,0,0,32,32,262,2.62,64,64,692,6.92,128,125,565,5.65,256,250,133,1.33,512,500,-219,-2.19,1024,1K,-150,-1.5,2048,2K,232,2.32,4096,4K,265,2.65,8192,8K,300,3,16384,16K,375,3.75
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Rock',4,0,0,32,32,500,5,64,64,400,4,128,125,300,3,256,250,150,1.5,512,500,-50,-0.5,1024,1K,-100,-1,2048,2K,50,0.5,4096,4K,250,2.5,8192,8K,350,3.5,16384,16K,450,4.5
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Small Speakers',14,0,0,32,32,550,5.5,64,64,425,4.25,128,125,350,3.5,256,250,250,2.5,512,500,125,1.25,1024,1K,0,0,2048,2K,-125,-1.25,4096,4K,-250,-2.5,8192,8K,-350,-3.5,16384,16K,-425,-4.25
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Spoken Word',11,0,0,32,32,-346,-3.46,64,64,-47,-0.47,128,125,0,0,256,250,69,0.69,512,500,346,3.46,1024,1K,461,4.61,2048,2K,484,4.84,4096,4K,428,4.28,8192,8K,254,2.54,16384,16K,0,0
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Treble Booster',14,0,0,32,32,0,0,64,64,0,0,128,125,0,0,256,250,0,0,512,500,0,0,1024,1K,125,1.25,2048,2K,250,2.5,4096,4K,350,3.5,8192,8K,425,4.25,16384,16K,550,5.5
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Treble Reducer',14,0,0,32,32,0,0,64,64,0,0,128,125,0,0,256,250,0,0,512,500,0,0,1024,1K,-125,-1.25,2048,2K,-250,-2.5,4096,4K,-350,-3.5,8192,8K,-425,-4.25,16384,16K,-550,-5.5
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Vocal Booster',13,0,0,32,32,-150,-1.5,64,64,-300,-3,128,125,-300,-3,256,250,150,1.5,512,500,375,3.75,1024,1K,375,3.75,2048,2K,300,3,4096,4K,150,1.5,8192,8K,0,0,16384,16K,-150,-1.5
